"WordMain","phonetic","Romanization","IPA","Sentence","MonoDefinition","plainURLdontImport","English625Word","Tags"
"俳優","はいゆう","haiyū","haiju͍ː","彼は俳優になるべきだった。","","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Hiroyuki_Sanada_20240220.jpg/250px-Hiroyuki_Sanada_20240220.jpg","actor","Job"
"黒, 黒い","くろ","kuro","ku͍ꜜɽo","匹犬を飼っているが、１匹は白でもう１匹は黒だ","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3_bmuKCS9ZNPnrUB34k7vy9GSPJQVomIC1Q&s","black","Color"
"粘土","ねんど","nendo","nẽꜜndo","彼は粘土で像を形作った。","","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Clay-ss-2005.jpg/640px-Clay-ss-2005.jpg","clay","Materials"
"病気","びょうき","byōki","bʲoːkʲi","あなたの病気がよくなることを願っています。","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQY8U1UI-DMoRETqnr992lBwZ-mlaS_RFw25w&s","disease","Body"
"形容詞","けいようし","keiyōshi","keːjoːɕi","英語の副詞の中には形容詞の役目をするものがある。","","https://res.cloudinary.com/teepublic/image/private/s--hHSJAaY1--/t_Resized%20Artwork/c_fit,g_north_west,h_1054,w_1054/co_ffffff,e_outline:53/co_ffffff,e_outline:inner_fill:53/co_bbbbbb,e_outline:3:1000/c_mpad,g_center,h_1260,w_1260/b_rgb:eeeeee/c_limit,f_auto,h_630,q_auto:good:420,w_630/v1701766273/production/designs/54150057_0.jpg","adjective","Misc Nouns"
"目の見えない","めのみえ
ない","me no mie nai","me no mʲie
na","盲導犬は目の見えない人を助ける。","","https://apologeticspress.org/wp-content/uploads/2021/08/Evolutionists-Have-a-Blind-Faith-JM2.jpg","blind","Adjectives"
"奇麗な","きれいな","kirei na","kʲiɽeː na","彼女は３個の奇麗なりんごを選んだ。","","https://c.files.bbci.co.uk/127F5/production/_107656757_gettyimages-831711760.jpg","clean","Adjectives"
"医者","いしゃ","isha","iɕa","医者は彼の折れた足をついだ。","","https://wiki.tf2classic.com/w/images/6/67/Medic_RED.png","doctor","Job"
"大人","おとな","otona","otona","大人だけこの映画が見える。","","https://i.kfs.io/album/global/161658287,0v1/fit/500x500.jpg","adult","People"
"血","ち","chi","tɕi","ナイフは血に塗れていた。","","https://img.freepik.com/free-vector/red-blood-splatter-black-background-ideal-halloween_1048-19440.jpg?semt=ais_hybrid&w=740&q=80","blood","Body"
